"provided","standard"
"Antwerpen","Antwerpen"
"Brussels","Brussels"
"Hainaut","Hainaut"
"Limburg","Limburg"
"Liège","Liège"
"Luxembourg","Luxembourg"
"Namur","Namur"
"OostVlaanderen","OostVlaanderen"
"VlaamsBrabant","VlaamsBrabant"
"BrabantWallon","BrabantWallon"
"WestVlaanderen","WestVlaanderen"
