"Date","area","people_in_hospital_count"
2020-04-06,"North West",2409
2020-04-06,"South East",1858
2020-04-06,"South West",802
2020-04-06,"Scotland",1262
2020-04-06,"Wales",1044
2020-04-06,"Northern Ireland",780
2020-04-07,"East of England",1323
2020-04-07,"London",4689
2020-04-07,"Midlands",3086
2020-04-07,"North East & Yorkshire",2113
2020-04-07,"North West",2495
2020-04-07,"South East",2073
2020-04-07,"South West",791
2020-04-07,"Scotland",1328
2020-04-07,"Wales",1054
2020-04-07,"Northern Ireland",794
2020-04-08,"East of England",1316
2020-04-08,"London",4813
2020-04-08,"Midlands",3070
2020-04-08,"North East & Yorkshire",2319
2020-04-08,"North West",2436
2020-04-08,"South East",2058
2020-04-08,"South West",772
2020-04-08,"Scotland",1415
2020-04-08,"Wales",1160
2020-04-08,"Northern Ireland",825
2020-04-09,"East of England",1272
2020-04-09,"London",4791
2020-04-09,"Midlands",2999
2020-04-09,"North East & Yorkshire",2567
2020-04-09,"North West",2596
2020-04-09,"South East",1930
2020-04-09,"South West",797
2020-04-09,"Scotland",1440
2020-04-09,"Wales",1168
2020-04-09,"Northern Ireland",824
2020-04-10,"East of England",1345
2020-04-10,"London",4736
2020-04-10,"Midlands",3101
2020-04-10,"North East & Yorkshire",2304
2020-04-10,"North West",2721
2020-04-10,"South East",2031
2020-04-10,"South West",809
2020-04-10,"Scotland",1461
2020-04-10,"Wales",1222
2020-04-10,"Northern Ireland",768
2020-04-11,"East of England",1322
2020-04-11,"London",4430
2020-04-11,"Midlands",3062
2020-04-11,"North East & Yorkshire",2422
2020-04-11,"North West",2830
2020-04-11,"South East",2007
2020-04-11,"South West",808
2020-04-11,"Scotland",1467
2020-04-11,"Wales",1208
2020-04-11,"Northern Ireland",782
2020-04-12,"East of England",1484
2020-04-12,"London",4433
2020-04-12,"Midlands",3092
2020-04-12,"North East & Yorkshire",2440
2020-04-12,"North West",2837
2020-04-12,"South East",2053
2020-04-12,"South West",833
2020-04-12,"Scotland",1487
2020-04-12,"Wales",1257
2020-04-12,"Northern Ireland",775
2020-04-13,"East of England",1268
2020-04-13,"London",4248
2020-04-13,"Midlands",2975
2020-04-13,"North East & Yorkshire",2470
2020-04-13,"North West",2890
2020-04-13,"South East",2049
2020-04-13,"South West",822
2020-04-13,"Scotland",1482
2020-04-13,"Wales",1187
2020-04-13,"Northern Ireland",779
2020-04-14,"East of England",1387
2020-04-14,"London",4031
2020-04-14,"Midlands",2989
2020-04-14,"North East & Yorkshire",2431
2020-04-14,"North West",2842
2020-04-14,"South East",2020
2020-04-14,"South West",840
2020-04-14,"Scotland",1514
2020-04-14,"Wales",1191
2020-04-14,"Northern Ireland",771
2020-04-15,"East of England",1418
2020-04-15,"London",3886
2020-04-15,"Midlands",2756
2020-04-15,"North East & Yorkshire",2400
2020-04-15,"North West",2655
2020-04-15,"South East",1970
2020-04-15,"South West",832
2020-04-15,"Scotland",1486
2020-04-15,"Wales",1209
2020-04-15,"Northern Ireland",757
2020-04-16,"East of England",1364
2020-04-16,"London",3800
2020-04-16,"Midlands",2708
2020-04-16,"North East & Yorkshire",2353
2020-04-16,"North West",2753
2020-04-16,"South East",1911
2020-04-16,"South West",796
2020-04-16,"Scotland",1479
2020-04-16,"Wales",1227
2020-04-16,"Northern Ireland",766
2020-04-17,"East of England",1340
2020-04-17,"London",3617
2020-04-17,"Midlands",2496
2020-04-17,"North East & Yorkshire",2206
2020-04-17,"North West",2389
2020-04-17,"South East",1893
2020-04-17,"South West",792
2020-04-17,"Scotland",1487
2020-04-17,"Wales",1227
2020-04-17,"Northern Ireland",767
2020-04-18,"East of England",1323
2020-04-18,"London",3445
2020-04-18,"Midlands",2510
2020-04-18,"North East & Yorkshire",2236
2020-04-18,"North West",2652
2020-04-18,"South East",1932
2020-04-18,"South West",770
2020-04-18,"Scotland",1501
2020-04-18,"Wales",1249
2020-04-18,"Northern Ireland",801
2020-04-19,"East of England",1362
2020-04-19,"London",3384
2020-04-19,"Midlands",2523
2020-04-19,"North East & Yorkshire",2217
2020-04-19,"North West",2651
2020-04-19,"South East",1933
2020-04-19,"South West",771
2020-04-19,"Scotland",1520
2020-04-19,"Wales",1194
2020-04-19,"Northern Ireland",841
2020-04-20,"East of England",1363
2020-04-20,"London",3378
2020-04-20,"Midlands",2524
2020-04-20,"North East & Yorkshire",2121
2020-04-20,"North West",2631
2020-04-20,"South East",1936
2020-04-20,"South West",737
2020-04-20,"Scotland",1520
2020-04-20,"Wales",1182
2020-04-20,"Northern Ireland",846
2020-04-21,"East of England",1319
2020-04-21,"London",3270
2020-04-21,"Midlands",2497
2020-04-21,"North East & Yorkshire",2226
2020-04-21,"North West",2547
2020-04-21,"South East",1897
2020-04-21,"South West",731
2020-04-21,"Scotland",1472
2020-04-21,"Wales",1124
2020-04-21,"Northern Ireland",859
2020-04-22,"East of England",1293
2020-04-22,"London",3134
2020-04-22,"Midlands",2416
2020-04-22,"North East & Yorkshire",2148
2020-04-22,"North West",2462
2020-04-22,"South East",1856
2020-04-22,"South West",713
2020-04-22,"Scotland",1432
2020-04-22,"Wales",1108
2020-04-22,"Northern Ireland",856
2020-04-23,"East of England",1261
2020-04-23,"London",2928
2020-04-23,"Midlands",2354
2020-04-23,"North East & Yorkshire",2095
2020-04-23,"North West",2445
2020-04-23,"South East",1747
2020-04-23,"South West",677
2020-04-23,"Scotland",1423
2020-04-23,"Wales",1332
2020-04-23,"Northern Ireland",820
2020-04-24,"East of England",1228
2020-04-24,"London",2737
2020-04-24,"Midlands",2245
2020-04-24,"North East & Yorkshire",2054
2020-04-24,"North West",2338
2020-04-24,"South East",1682
2020-04-24,"South West",647
2020-04-24,"Scotland",1383
2020-04-24,"Wales",1312
2020-04-24,"Northern Ireland",822
2020-04-25,"East of England",1203
2020-04-25,"London",2688
2020-04-25,"Midlands",2000
2020-04-25,"North East & Yorkshire",2018
2020-04-25,"North West",2281
2020-04-25,"South East",1597
2020-04-25,"South West",625
2020-04-25,"Scotland",1385
2020-04-25,"Wales",1347
2020-04-25,"Northern Ireland",855
2020-04-26,"East of England",1227
2020-04-26,"London",2615
2020-04-26,"Midlands",2111
2020-04-26,"North East & Yorkshire",1963
2020-04-26,"North West",2277
2020-04-26,"South East",1524
2020-04-26,"South West",611
2020-04-26,"Scotland",1382
2020-04-26,"Wales",1312
2020-04-26,"Northern Ireland",894
2020-04-27,"East of England",1205
2020-04-27,"London",2614
2020-04-27,"Midlands",2109
2020-04-27,"North East & Yorkshire",2007
2020-04-27,"North West",2306
2020-04-27,"South East",1568
2020-04-27,"South West",589
2020-04-27,"Scotland",1387
2020-04-27,"Wales",1300
2020-04-27,"Northern Ireland",911
2020-04-28,"East of England",1195
2020-04-28,"London",2304
2020-04-28,"Midlands",2047
2020-04-28,"North East & Yorkshire",1973
2020-04-28,"North West",2168
2020-04-28,"South East",1541
2020-04-28,"South West",590
2020-04-28,"Scotland",1359
