case_count,clinical_finding,date,state,positive,negative,pending,hospitalizedcurrently,hospitalizedcumulative,inicucurrently,inicucumulative,onventilatorcurrently,onventilatorcumulative,recovered,dataqualitygrade,lastupdateet,hash,datechecked,death,hospitalized,total,totaltestresults,posneg,fips,hospitalizedincrease,negativeincrease,totaltestresultsincrease
777,positiveincrease,2020-05-20,MD,42323,173007,,1410,7393,539,,,,2993,,2020-05-20 10:00:00,ede4b150de2fd83dca080e1f391f518df1c9b3fb,2020-05-20 20:00:00,2123,7393,215330,215330,215330,24,194,5895,6672
78,positiveincrease,2020-05-20,ME,1819,35450,,43,231,24,,12,,1100,B,2020-05-20 12:30:00,6841cbc18f413f5e98ec420d21c42b7feb1774bd,2020-05-20 20:00:00,73,231,37269,37269,37269,23,6,13358,13436
659,positiveincrease,2020-05-20,MI,53009,384063,,1066,,492,,332,,28234,A+,2020-05-20 11:00:00,9ed106ed0c86b787c8dc359de7ca9ce7a2ea1fe7,2020-05-20 20:00:00,5060,,437072,437072,437072,26,0,13509,14168
641,positiveincrease,2020-05-20,MN,17670,149668,,550,2308,212,773,,,12227,A,2020-05-19 17:00:00,690fdbcf2ba8608cbc8354c36acc8f0964bde1c9,2020-05-20 20:00:00,786,2308,167338,167338,167338,27,87,4862,5503
152,positiveincrease,2020-05-20,MO,11232,150752,,546,,,,103,,,B,2020-05-20 15:00:00,59c63344f909faedc336a6f4ddbb045ca5af86fe,2020-05-20 20:00:00,631,,161984,161984,161984,29,0,7722,7874
0,positiveincrease,2020-05-20,MP,21,3796,,,,,,,,13,D,2020-05-20 00:00:00,f4d221a70d23824b1748360f53c42cd204089fab,2020-05-20 20:00:00,2,,3817,3817,3817,69,0,0,0
263,positiveincrease,2020-05-20,MS,11967,108713,,644,1901,157,,89,,7681,A,2020-05-19 19:00:00,a4bc97dd1cd3490d15cf952d63c36adfa9f22697,2020-05-20 20:00:00,570,1901,120680,120680,120680,28,61,2657,2920
7,positiveincrease,2020-05-20,MT,478,29248,,3,65,,,,,440,C,2020-05-20 00:00:00,2f3881f0a568e83a0c15c272c4bc075eeda1211f,2020-05-20 20:00:00,16,65,29726,29726,29726,30,0,769,776
422,positiveincrease,2020-05-20,NC,20122,257481,,554,,,,,,11637,A,2020-05-20 12:15:00,f1570109d8fcd76a1d363b2c41d9a0ab7bfc387a,2020-05-20 20:00:00,702,,277603,277603,277603,37,0,12173,12595
101,positiveincrease,2020-05-20,ND,2095,57105,,38,142,,,,,1302,C,2020-05-20 01:59:00,40a29c111a2b27e46383d54173de85d184681ef1,2020-05-20 20:00:00,49,142,59200,59200,59200,38,7,1368,1469
221,positiveincrease,2020-05-20,NE,10846,61289,,,,,,,,,D,2020-05-19 19:00:00,d6b6f2ef9b9710b1f1929af124f35f2d1048a919,2020-05-20 20:00:00,132,,72135,72135,72135,31,0,1930,2151
69,positiveincrease,2020-05-20,NH,3721,47167,861,105,383,,109,,,1275,B,2020-05-19 09:00:00,a959302f6fca6e30d64cde469662fde2a6739267,2020-05-20 20:00:00,182,383,51749,50888,50888,33,15,1345,1414
1386,positiveincrease,2020-05-20,NJ,150399,380944,,3405,,969,,750,,23945,A+,2020-05-20 13:00:00,76a32369f16763bc8b9c6061998dde4298477d12,2020-05-20 20:00:00,10747,,531343,531343,531343,34,0,9775,11161
96,positiveincrease,2020-05-20,NM,6192,136054,,204,1139,,,,,1882,C,2020-05-20 14:25:00,6e4040eba43846e8714e2f3695e0a0b39c055ede,2020-05-20 20:00:00,276,1139,142246,142246,142246,35,253,4530,4626
120,positiveincrease,2020-05-20,NV,7166,84005,,437,,107,,60,,336,A,2020-05-20 09:00:00,def1df55e0dc0ea2e0e82bc5215fd24ea3259444,2020-05-20 20:00:00,373,,91171,91171,91171,32,0,3496,3616
1525,positiveincrease,2020-05-20,NY,354370,1151466,,5570,76410,1836,,1421,,61886,A,2020-05-20 00:00:00,00a412db192eec4248dc52194da0117cc8819e2a,2020-05-20 20:00:00,22976,76410,1505836,1505836,1505836,36,242,36572,38097
484,positiveincrease,2020-05-20,OH,29436,260092,,902,5198,333,1369,248,,,B,2020-05-20 14:00:00,f4e3a67b373cd29bc1ed42d8c469a2b5ef10c28a,2020-05-20 20:00:00,1781,5198,289528,289528,289528,39,81,11442,11926
