"provided","standard"
"Arrondissement Antwerpen",NA
"Arrondissement Mechelen",NA
"Arrondissement Turnhout",NA
"Arrondissement Brussel-Hoofdstad",NA
"Arrondissement Halle-Vilvoorde",NA
"Arrondissement Leuven",NA
"Arrondissement Nijvel",NA
"Arrondissement Brugge",NA
"Arrondissement Diksmuide",NA
"Arrondissement Ieper",NA
"Arrondissement Kortrijk",NA
"Arrondissement Oostende",NA
"Arrondissement Roeselare",NA
"Arrondissement Tielt",NA
"Arrondissement Veurne",NA
"Arrondissement Aalst",NA
"Arrondissement Dendermonde",NA
"Arrondissement Eeklo",NA
"Arrondissement Gent",NA
"Arrondissement Oudenaarde",NA
"Arrondissement Sint-Niklaas",NA
"Arrondissement Aat",NA
"Arrondissement Charleroi",NA
"Arrondissement Bergen",NA
"Arrondissement Zinnik",NA
"Arrondissement Thuin",NA
"Arrondissement Doornik-Moeskroen",NA
"Arrondissement La Louvière",NA
"Arrondissement Hoei",NA
"Arrondissement Luik",NA
"Arrondissement Verviers",NA
"Arrondissement Borgworm",NA
"Arrondissement Hasselt",NA
"Arrondissement Maaseik",NA
"Arrondissement Tongeren",NA
"Arrondissement Aarlen",NA
"Arrondissement Bastenaken",NA
"Arrondissement Marche-en-Famenne",NA
"Arrondissement Neufchâteau",NA
"Arrondissement Virton",NA
"Arrondissement Dinant",NA
"Arrondissement Namen",NA
"Arrondissement Philippeville",NA
NA,NA
