"provided","standard"
"Provincie Antwerpen",NA
NA,NA
"Provincie Vlaams-Brabant",NA
"Provincie Waals-Brabant",NA
"Provincie West-Vlaanderen",NA
"Provincie Oost-Vlaanderen",NA
"Provincie Henegouwen",NA
"Provincie Luik",NA
"Provincie Limburg",NA
"Provincie Luxemburg",NA
"Provincie Namen",NA
