"provided","standard"
"Leelanau","Leelanau"
"Macomb","Macomb"
"Wright","Wright"
"Copiah","Copiah"
"Leflore","Leflore"
"Pearl River","Pearl River"
"Gallatin","Gallatin"
"Lewis and Clark","Lewis and Clark"
"Silver Bow","Silver Bow"
"Yellowstone","Yellowstone"
"Ocean","Ocean"
"Schenectady","Schenectady"
"Oklahoma","Oklahoma"
"Chester","Chester"
"McCook","McCook"
"Hamilton","Hamilton"
"Rutherford","Rutherford"
"Bell","Bell"
"Galveston","Galveston"
"Smith","Smith"
"Travis","Travis"
"Harrisonburg city","Harrisonburg city"
"Grant","Grant"
"Milwaukee","Milwaukee"
"Racine","Racine"
"Sheboygan","Sheboygan"
"Fremont","Fremont"
"Baldwin","Baldwin"
"Graham","Graham"
"San Luis Obispo","San Luis Obispo"
"Boulder","Boulder"
"Mesa","Mesa"
"Hartford","Hartford"
"New Haven","New Haven"
"Coweta","Coweta"
"Kauai","Kauai"
"Blaine","Blaine"
"Teton","Teton"
"DuPage","DuPage"
"Sangamon","Sangamon"
"Woodford","Woodford"
"LaPorte","LaPorte"
"Wells","Wells"
"Franklin","Franklin"
"Bourbon","Bourbon"
"Nelson","Nelson"
"Bossier","Bossier"
"Lafourche","Lafourche"
"St. John the Baptist","St. John the Baptist"
"Barnstable","Barnstable"
"Bristol","Bristol"
"Renville","Renville"
"Missoula","Missoula"
"Mercer","Mercer"
"Sandoval","Sandoval"
"Broome","Broome"
"Tioga","Tioga"
"Tompkins","Tompkins"
"Brunswick","Brunswick"
"Craven","Craven"
"Harnett","Harnett"
"Belmont","Belmont"
"Lorain","Lorain"
"Tuscarawas","Tuscarawas"
"Allegheny","Allegheny"
"Beaufort","Beaufort"
"Lexington","Lexington"
"Campbell","Campbell"
"Brazoria","Brazoria"
"Hays","Hays"
"Windsor","Windsor"
"Chesterfield","Chesterfield"
"Spotsylvania","Spotsylvania"
"Klickitat","Klickitat"
"Winnebago","Winnebago"
"Garland","Garland"
"Saline","Saline"
"San Bernardino","San Bernardino"
"Santa Barbara","Santa Barbara"
"Garfield","Garfield"
"Baker","Baker"
"Citrus","Citrus"
"Clarke","Clarke"
"Clayton","Clayton"
"Dougherty","Dougherty"
"Newton","Newton"
"Maui","Maui"
"Clinton","Clinton"
"Whiteside","Whiteside"
"Allamakee","Allamakee"
"St. Bernard","St. Bernard"
"Lincoln","Lincoln"
"Baltimore city","Baltimore city"
"Hampden","Hampden"
"Plymouth","Plymouth"
"Ottawa","Ottawa"
"Waseca","Waseca"
"Hinds","Hinds"
"Erie","Erie"
"Putnam","Putnam"
"Watauga","Watauga"
"Wilson","Wilson"
"Lucas","Lucas"
"Medina","Medina"
"Cleveland","Cleveland"
"Kay","Kay"
"Payne","Payne"
"Yamhill","Yamhill"
"Lehigh","Lehigh"
"Luzerne","Luzerne"
"Anderson","Anderson"
"Greenville","Greenville"
"Horry","Horry"
"Denton","Denton"
"Utah","Utah"
"Lewis","Lewis"
"Fairbanks North Star Borough","Fairbanks North Star Borough"
"Cleburne","Cleburne"
"Desha","Desha"
"Nevada","Nevada"
"Escambia","Escambia"
"Hall","Hall"
"Paulding","Paulding"
"Troup","Troup"
"Peoria","Peoria"
"Will","Will"
"Bartholomew","Bartholomew"
"Ascension","Ascension"
"Frederick","Frederick"
"Talbot","Talbot"
"Benton","Benton"
"Blue Earth","Blue Earth"
"Hancock","Hancock"
"Hunterdon","Hunterdon"
"Somerset","Somerset"
"Allegany","Allegany"
"Onondaga","Onondaga"
"Ontario","Ontario"
"Durham","Durham"
"Geauga","Geauga"
"Canadian","Canadian"
"Sevier","Sevier"
"Bowie","Bowie"
"Matagorda","Matagorda"
"Tooele","Tooele"
"Wasatch","Wasatch"
"Stafford","Stafford"
"York","York"
"Outagamie","Outagamie"
"Wood","Wood"
"Madison","Madison"
"Ketchikan Gateway Borough","Ketchikan Gateway Borough"
"Navajo","Navajo"
"Kern","Kern"
"Monterey","Monterey"
"Sussex","Sussex"
"Brevard","Brevard"
"Richmond","Richmond"
"Whitfield","Whitfield"
"Hawaii","Hawaii"
"Adair","Adair"
"Black Hawk","Black Hawk"
"Ford","Ford"
"Lyon","Lyon"
"East Baton Rouge","East Baton Rouge"
"Kennebec","Kennebec"
"Oxford","Oxford"
"Otsego","Otsego"
"Martin","Martin"
"Nicollet","Nicollet"
"Cole","Cole"
"Sarpy","Sarpy"
"Gloucester","Gloucester"
"Warren","Warren"
"Taos","Taos"
"Rensselaer","Rensselaer"
"Wyoming","Wyoming"
"Iredell","Iredell"
"Sampson","Sampson"
"Burleigh","Burleigh"
"Coshocton","Coshocton"
"Darke","Darke"
"Mahoning","Mahoning"
"Pawnee","Pawnee"
"Lane","Lane"
"Beaver","Beaver"
"Calhoun","Calhoun"
"Richland","Richland"
"Brazos","Brazos"
"Ellis","Ellis"
"Lubbock","Lubbock"
"Charlottesville city","Charlottesville city"
"Goochland","Goochland"
"Henrico","Henrico"
"Williamsburg city","Williamsburg city"
"Mason","Mason"
"Kenosha","Kenosha"
"Laramie","Laramie"
"Park","Park"
"Talladega","Talladega"
"Kenai Peninsula Borough","Kenai Peninsula Borough"
"Coconino","Coconino"
"Bradley","Bradley"
"Faulkner","Faulkner"
"Mendocino","Mendocino"
"Yuma","Yuma"
"Leon","Leon"
"Sumter","Sumter"
"Walton","Walton"
"Houston","Houston"
"Twin Falls","Twin Falls"
"Kankakee","Kankakee"
"Kendall","Kendall"
"LaSalle","LaSalle"
"Jennings","Jennings"
"Winneshiek","Winneshiek"
"Leavenworth","Leavenworth"
"Kenton","Kenton"
"Penobscot","Penobscot"
"Rice","Rice"
"Bolivar","Bolivar"
"Coahoma","Coahoma"
"DeSoto","DeSoto"
"Perry","Perry"
"St. Louis city","St. Louis city"
"Belknap","Belknap"
"Merrimack","Merrimack"
"Atlantic","Atlantic"
"Chenango","Chenango"
"Livingston","Livingston"
"Gaston","Gaston"
"Guilford","Guilford"
"Hoke","Hoke"
"Moore","Moore"
"New Hanover","New Hanover"
"Morton","Morton"
"Ashland","Ashland"
"Huron","Huron"
"Miami","Miami"
"Berks","Berks"
"Lackawanna","Lackawanna"
"Cheatham","Cheatham"
"Robertson","Robertson"
"Sumner","Sumner"
"Lavaca","Lavaca"
"McLennan","McLennan"
"Rusk","Rusk"
"Webb","Webb"
"Wichita","Wichita"
"Box Elder","Box Elder"
"Cache","Cache"
"Charles City","Charles City"
"Richmond city","Richmond city"
"Brown","Brown"
"La Crosse","La Crosse"
"Chambers","Chambers"
"Mobile","Mobile"
"Walker","Walker"
"Yavapai","Yavapai"
"Craighead","Craighead"
"Crittenden","Crittenden"
"Independence","Independence"
"Poinsett","Poinsett"
"Pope","Pope"
"Searcy","Searcy"
"Sebastian","Sebastian"
"Van Buren","Van Buren"
"Crowley","Crowley"
"Grand","Grand"
"Morgan","Morgan"
"Tolland","Tolland"
"Windham","Windham"
"Hernando","Hernando"
"Indian River","Indian River"
"Bibb","Bibb"
"Early","Early"
"Effingham","Effingham"
