"provided","standard"
"Norman","Norman"
"Olmsted","Olmsted"
"Otter Tail","Otter Tail"
"Pine","Pine"
"Pipestone","Pipestone"
"Polk","Polk"
"Ramsey","Ramsey"
"Red Lake","Red Lake"
"Redwood","Redwood"
"Renville","Renville"
"Rice","Rice"
"Rock","Rock"
"Roseau","Roseau"
"Sherburne","Sherburne"
"Sibley","Sibley"
"St. Louis","St. Louis"
"Stearns","Stearns"
"Steele","Steele"
"Swift","Swift"
"Traverse","Traverse"
"Wabasha","Wabasha"
"Waseca","Waseca"
"Watonwan","Watonwan"
"Wilkin","Wilkin"
"Winona","Winona"
"Wright","Wright"
"Yellow Medicine","Yellow Medicine"
"Adams","Adams"
"Alcorn","Alcorn"
"Amite","Amite"
"Attala","Attala"
"Bolivar","Bolivar"
"Chickasaw","Chickasaw"
"Choctaw","Choctaw"
"Clarke","Clarke"
"Coahoma","Coahoma"
"Copiah","Copiah"
"Covington","Covington"
"DeSoto","DeSoto"
"Forrest","Forrest"
"George","George"
"Greene","Greene"
"Grenada","Grenada"
"Harrison","Harrison"
"Hinds","Hinds"
"Holmes","Holmes"
"Humphreys","Humphreys"
"Itawamba","Itawamba"
"Jasper","Jasper"
"Jones","Jones"
"Kemper","Kemper"
"Lamar","Lamar"
"Lauderdale","Lauderdale"
"Lawrence","Lawrence"
"Leake","Leake"
"Lee","Lee"
"Leflore","Leflore"
"Lowndes","Lowndes"
"Marion","Marion"
"Marshall","Marshall"
"Neshoba","Neshoba"
"Newton","Newton"
"Noxubee","Noxubee"
"Oktibbeha","Oktibbeha"
"Panola","Panola"
"Pearl River","Pearl River"
"Pontotoc","Pontotoc"
"Prentiss","Prentiss"
"Quitman","Quitman"
"Rankin","Rankin"
"Sharkey","Sharkey"
"Smith","Smith"
"Stone","Stone"
"Sunflower","Sunflower"
"Tallahatchie","Tallahatchie"
"Tate","Tate"
"Tippah","Tippah"
"Tishomingo","Tishomingo"
"Tunica","Tunica"
"Walthall","Walthall"
"Wilkinson","Wilkinson"
"Winston","Winston"
"Yalobusha","Yalobusha"
"Yazoo","Yazoo"
"Adair","Adair"
"Andrew","Andrew"
"Atchison","Atchison"
"Bates","Bates"
"Bollinger","Bollinger"
"Boone","Boone"
"Buchanan","Buchanan"
"Butler","Butler"
"Callaway","Callaway"
"Camden","Camden"
"Cape Girardeau","Cape Girardeau"
"Carter","Carter"
"Cedar","Cedar"
"Chariton","Chariton"
"Christian","Christian"
"Clark","Clark"
"Cole","Cole"
"Cooper","Cooper"
"Dallas","Dallas"
"Daviess","Daviess"
"DeKalb","DeKalb"
"Dunklin","Dunklin"
"Gasconade","Gasconade"
"Gentry","Gentry"
"Henry","Henry"
"Audrain","Audrain"
"Holt","Holt"
"Howell","Howell"
"Iron","Iron"
"Johnson","Johnson"
"Laclede","Laclede"
"Macon","Macon"
"Maries","Maries"
