"provided","standard"
"Antwerpen",NA
"Brussel",NA
"Elsene",NA
"Sint-Joost-ten-Node",NA
"Overijse",NA
"Vilvoorde",NA
"Kraainem",NA
"Huldenberg",NA
"Leuven",NA
"Deinze",NA
"Héron",NA
"Halen",NA
"Sint-Katelijne-Waver",NA
"Sint-Agatha-Berchem",NA
"Ukkel",NA
"Sint-Lambrechts-Woluwe",NA
"Sint-Pieters-Woluwe",NA
"Halle (Halle-Vilvoorde)",NA
"Hoegaarden",NA
"Holsbeek",NA
"Tervuren",NA
"Wevelgem",NA
"Oostende",NA
"Sint-Lievens-Houtem",NA
"Sprimont",NA
"Geel",NA
"Anderlecht",NA
"Watermaal-Bosvoorde",NA
"Dilbeek",NA
"Lubbeek",NA
"Eigenbrakel",NA
"Perwijs (Nijvel)",NA
"Rixensart",NA
"Ottignies-Louvain-la-Neuve",NA
"Knokke-Heist",NA
"Oostrozebeke",NA
"Ruiselede",NA
"Gent",NA
"Ronse",NA
"Elzele",NA
"Ans",NA
"Herstal",NA
"Blegny",NA
"Herve",NA
"Sint-Truiden",NA
"Pelt",NA
"Alken",NA
"Namen",NA
"Schoten",NA
"Lier",NA
"Retie",NA
"Evere",NA
"Jette",NA
"Gooik",NA
"Bierbeek",NA
"Tremelo",NA
"Aalst (Aalst)",NA
"Dendermonde",NA
"Lokeren",NA
"Charleroi",NA
"Montigny-le-Tilleul",NA
"Komen-Waasten",NA
"La Louvière",NA
"Estinnes",NA
"Luik",NA
"Kelmis",NA
"Malmedy",NA
"Beringen",NA
"Hasselt",NA
"Zonhoven",NA
"Heusden-Zolder",NA
"Lanaken",NA
"Profondeville",NA
NA,NA
"Brasschaat",NA
"Kalmthout",NA
"Bonheiden",NA
"Ravels",NA
"Beersel",NA
"Affligem",NA
"Aarschot",NA
"Keerbergen",NA
"Kasteelbrakel",NA
"Brugge",NA
"Wervik",NA
"Harelbeke",NA
"Lede",NA
"Erpe-Mere",NA
"Lebbeke",NA
"Evergem",NA
"Lochristi",NA
"Oosterzele",NA
"Beveren (Sint-Niklaas)",NA
"Châtelet",NA
"Courcelles",NA
"Bergen",NA
"Moeskroen",NA
"Soumagne",NA
"Neupré",NA
"Limburg",NA
"Houthalen-Helchteren",NA
"Heers",NA
"Havelange",NA
"Kapellen (Antwerpen)",NA
"Heist-op-den-Berg",NA
