"provided","standard"
"Province d’Anvers",NA
NA,NA
"Province du Brabant flamand",NA
"Province de Flandre orientale",NA
"Province de Liège",NA
"Province du Limbourg",NA
"Province de Flandre occidentale",NA
"Province du Brabant wallon",NA
"Province du Hainaut",NA
"Province de Namur",NA
"Province du Luxembourg",NA
