"provided","standard","term_id","units","units_id","value_mapping_file","notes"
"Date","date",NA,NA,NA,NA,NA
"location","geographical_resolution","GAZ:00000448",NA,NA,"location_levels","This is rather a area of UK"
"ventilator_beds_occupied","ventilator_beds_occupied",NA,NA,NA,NA,NA
