"provided","standard"
"Kozani","Kozani"
"Lesbos","Lesbos"
"Pireas","Pireas"
"Serron","Serron"
"Tessaloniki","Tessaloniki"
"Zakynthos","Zakynthos"
"Estrageiro","Estrageiro"
"Banská Bystrica","Banská Bystrica"
"Trnava","Trnava"
"Ciudad Autónoma de Melilla","Ciudad Autónoma de Melilla"
"Dalarna","Dalarna"
"Gotland","Gotland"
"Östergötland","Östergötland"
"Obwalden","Obwalden"
"Chernivtsi","Chernivtsi"
"Zhytomyr","Zhytomyr"
"Mayotte","Mayotte"
"Nitra","Nitra"
"Appenzell Innerrhoden","Appenzell Innerrhoden"
"Açores","Açores"
"Elbasan","Elbasan"
"Fier","Fier"
"Karlovačka","Karlovačka"
"Osječko-baranjska","Osječko-baranjska"
"Ioannina","Ioannina"
"Larissa","Larissa"
"Pieria","Pieria"
"West Attica","West Attica"
"Västmanland","Västmanland"
"Thurgau","Thurgau"
"Kyiv","Kyiv"
"Dumfries and Galloway","Dumfries and Galloway"
"Highland","Highland"
"Brodsko-Posavska","Brodsko-Posavska"
"Zadarska","Zadarska"
"Etelä-Karjala","Etelä-Karjala"
"Etelä-Pohjanmaa","Etelä-Pohjanmaa"
"Etelä-Savo","Etelä-Savo"
"HUS","HUS"
"Kanta-Häme","Kanta-Häme"
"Keski-Pohjanmaa","Keski-Pohjanmaa"
"Keski-Suomi","Keski-Suomi"
"Länsi-Pohja","Länsi-Pohja"
"Lappi","Lappi"
"Päijät-Häme","Päijät-Häme"
"Pirkanmaa","Pirkanmaa"
"Pohjois-Karjala","Pohjois-Karjala"
"Pohjois-Pohjanmaa","Pohjois-Pohjanmaa"
"Pohjois-Savo","Pohjois-Savo"
"Satakunta","Satakunta"
"Vaasa","Vaasa"
"Varsinais-Suomi","Varsinais-Suomi"
"West North","West North"
"Kilkis","Kilkis"
"Messinia","Messinia"
"Glarus","Glarus"
"Jihoceský","Jihoceský"
"Jihomoravský","Jihomoravský"
"Karlovarský","Karlovarský"
"Královéhradecký","Královéhradecký"
"Liberecký","Liberecký"
"Moravskoslezský","Moravskoslezský"
"Olomoucký","Olomoucký"
"Pardubický","Pardubický"
"Plzenský","Plzenský"
"Prague","Prague"
"Stredoceský","Stredoceský"
"Ústecký","Ústecký"
"Vysocina","Vysocina"
"Zlínský","Zlínský"
"Evros","Evros"
"Magnesia","Magnesia"
"Greater Reykjavík","Greater Reykjavík"
"Northeast Iceland","Northeast Iceland"
"Northwest Iceland","Northwest Iceland"
"South Iceland","South Iceland"
"Suðurnes Peninsula","Suðurnes Peninsula"
"Luxembourg","Luxembourg"
"Monaco","Monaco"
"Montenegro","Montenegro"
"Alentejo","Alentejo"
"Madeira","Madeira"
"Graubünden","Graubünden"
"Lucerne","Lucerne"
"Arta","Arta"
"Laconia","Laconia"
"Xanthis","Xanthis"
"Dubrovačko-neretvanska","Dubrovačko-neretvanska"
"Koprivničko-križevačka","Koprivničko-križevačka"
"Šibensko-kninska","Šibensko-kninska"
"Splitsko-Dalmatinska","Splitsko-Dalmatinska"
"Zagrebačka","Zagrebačka"
"Dodecaneso","Dodecaneso"
"Kavalas","Kavalas"
"Arkhangelsk","Arkhangelsk"
"Belgorod","Belgorod"
"Chuvashia","Chuvashia"
"Ivanovo","Ivanovo"
"Kaliningrad","Kaliningrad"
"Kaluga","Kaluga"
"Kemerovo","Kemerovo"
"Khabarovsk","Khabarovsk"
"Khakassia","Khakassia"
"Khanty-Mansi AO","Khanty-Mansi AO"
"Kirov","Kirov"
"Komi Republic","Komi Republic"
"Krasnodar","Krasnodar"
"Krasnoyarsk","Krasnoyarsk"
"Leningrad","Leningrad"
"Lipetsk","Lipetsk"
"Moscow","Moscow"
"Murmansk","Murmansk"
"Nizhny Novgorod","Nizhny Novgorod"
"Novosibirsk","Novosibirsk"
"Orenburg","Orenburg"
"Penza","Penza"
"Perm","Perm"
"Ryazan","Ryazan"
